"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  US$","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  US$","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
125.,"Premo Guard Poultry Spray - 16 oz - Kill Scaly Leg, Mites, Fleas, Lice, & Other Pest on Chickens and in Coops - Natural Plant Based Oils for Control, & Prevention - Family Safe with No Egg Withdrawl","B0DJLG1YGM","https://www.amazon.com/dp/B0DJLG1YGM?psc=1","https://m.media-amazon.com/images/I/61AqbbxiFSL._AC_SY355_.jpg","Premo Guard",24.97,"3,411","1,155","1,000","143,603.28","26,866.84",198,741,"US",9.67,1,4.5,"1,746",9,50,"Premo Guard LLC","Patio, Lawn & Garden","Large Standard-Size","FBA","9.65 x 4.76 x 6.77 in",1.21,"N/A","Oct 9, 2024",,"No",17,"Premo Guard LLC"
"125.1.","Premo Guard Poultry Spray - 32 oz - Kill Scaly Leg, Mites, Fleas, Lice, & Other Pest on Chickens and in Coops - Natural Plant Based Oils for Control, & Prevention - Family Safe with No Egg Withdrawl","B0B5JYG9QR","https://www.amazon.com/dp/B0B5JYG9QR?psc=1","https://m.media-amazon.com/images/I/61GwhfKeLHL._AC_SY355_.jpg","Premo Guard",35.97,"3,411","1,432","1,000","143,603.28","47,813.38",198,741,"US",11.5,1,4.5,"1,746",9,50,"Premo Guard LLC","Patio, Lawn & Garden","Large Standard-Size","FBA","10.50 x 3.39 x 4.72 in",2.29,"N/A","Jul 4, 2022",,"No",44,"Premo Guard LLC"
"125.2.","Premo Guard Poultry Spray - 128 oz - Kill Scaly Leg, Mites, Fleas, Lice, & Other Pest on Chickens and in Coops - Natural Plant Based Oils for Control, & Prevention - Family Safe with No Egg Withdrawl","B0BW15HLSL","https://www.amazon.com/dp/B0BW15HLSL?psc=1","https://m.media-amazon.com/images/I/71NIWBSX2hL._AC_SY355_.jpg","Premo Guard",89.97,"3,528",824,800,"147,265.95","68,912.38",199,741,"N/A",22.57,1,4.5,"1,746",10,53,"Premo Guard LLC","Patio, Lawn & Garden","Large Standard-Size","FBA","13.86 x 5.31 x 9.65 in",8.6,"N/A","Jul 5, 2022",,"No",44,"Premo Guard LLC"
