"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  US$","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  US$","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
45.,"Clorox PURE Allergen Neutralizer Daily Air Spray, Nighttime Calm, 8 Ounces","B0FLZKK8Z4","https://www.amazon.com/dp/B0FLZKK8Z4?psc=1","https://m.media-amazon.com/images/I/61QQg+oKerL._AC_SY355_.jpg","Clorox",5.97,450,450,"7,000","2,684.27","2,679.77",74,"4,334","AMZ",5.27,1,4.2,190,15,104,"Amazon","Health & Household","Large Standard-Size","AMZ","11.15 x 2.83 x 3.11 in",0.72,"N/A","Dec 1, 2025",,"No",3,"Amazon"
137.,"BugOut! Laundry Additive – Natural Detergent Booster for Bed Bug, Mite, Flea, Tick & Carpet Beetle Treatment | Plant-Based Killer, Made with Fabric-Safe Soap | Works in Hot and Cold Wash (32 Oz)","B0FG46F49B","https://www.amazon.com/dp/B0FG46F49B?psc=1","https://m.media-amazon.com/images/I/71cevh-9AlL._AC_SY355_.jpg","ECOPEST",29.99,462,423,300,"15,592.42","12,691.99",194,"41,926","US",11.73,1,4.5,82,12,10,"Rimbaworks","Health & Household","Large Standard-Size","FBA","9.17 x 3.46 x 3.74 in",2.07,"N/A","Jun 30, 2025",,"No",9,"Rimbaworks"
"137.1.","BugOut! Laundry Additive – Natural Detergent Booster for Bed Bug, Mite, Flea, Tick & Carpet Beetle Treatment | Plant-Based Killer, Made with Fabric-Safe Soap | Works in Hot and Cold Wash (1 Gallon)","B0FG98VHQL","https://www.amazon.com/dp/B0FG98VHQL?psc=1","https://m.media-amazon.com/images/I/71P1tSovSLL._AC_SY355_.jpg","ECOPEST",74.99,462,39,"N/A","15,592.42","2,895.54",197,"41,905","N/A",20.47,1,4.5,82,11,5,"Rimbaworks","Health & Household","Large Standard-Size","FBA","12.71 x 4.49 x 9.17 in",8.16,"N/A","Jul 1, 2025",,"No",8,"Rimbaworks"
