"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  US$","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  US$","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
22.,"Bed Bug Killer 16 oz EcoVenger by EcoRaider, 100% Kill Efficacy, Bedbugs & Mites, Kills Eggs & The Resistant, Lasting Protection, USDA BIO-Certified, Plant Extract Based & Non-Toxic, Child & Pet Safe","B0077CPANQ","https://www.amazon.com/dp/B0077CPANQ?psc=1","https://m.media-amazon.com/images/I/61Ar--ff5zL._AC_SY355_.jpg","EcoVenger",19.95,"6,052","5,263","4,000","130,290.72","104,992.45",199,"4,625","US",8.02,1,4.2,"20,340",9,93,"EcoRaider Store","Health & Household","Large Standard-Size","FBA","11.46 x 2.60 x 4.88 in",1.23,"N/A","Aug 22, 2013",,"No",151,"EcoRaider Store"
"22.1.","Ecovenger® Bed Bug Killer Travel TSA 3 oz | Kills Eggs and the Resistant | Fast Total Remedy | Plant-Based USDA BIO-Certified | Child and Pet Safe","B0DHZJG5GZ","https://www.amazon.com/dp/B0DHZJG5GZ?psc=1","https://m.media-amazon.com/images/I/51LLcT8VYYL._AC_SY355_.jpg","EcoVenger",9.99,"6,052",346,300,"130,290.72","3,454.83",146,"4,626","N/A",4.88,1,4.2,"20,340",10,100,"EcoRaider Store","Health & Household","Large Standard-Size","FBA","5.67 x 1.42 x 1.50 in",0.26,"N/A","Dec 1, 2024",,"No",15,"EcoRaider Store"
"22.2.","EcoVenger Bed Bug Killer with Remote Sprayer 1 Gal - Kills 100% All Stages on Contact- Kills Resistant Bugs- Kills Eggs- 14 Day Residual Protection- Non-Toxic- Child & Pet Friendly","B0B7X87ZF9","https://www.amazon.com/dp/B0B7X87ZF9?psc=1","https://m.media-amazon.com/images/I/71tR+7Ivg9L._AC_SY355_.jpg","EcoVenger",74.95,"6,052",99,100,"130,290.72","7,426.74",180,"4,626","N/A",20.7,1,4.2,"20,340",8,96,"EcoRaider Store","Health & Household","Large Standard-Size","FBA","12.56 x 4.84 x 10.20 in",9.08,"N/A","Jul 28, 2022",,"No",44,"EcoRaider Store"
