"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  US$","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  US$","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
50.,"Clorox PURE Allergen Neutralizer Daily Air Spray, Clean Breeze, 8 Ounces","B0FLZ9FSHC","https://www.amazon.com/dp/B0FLZ9FSHC?psc=1","https://m.media-amazon.com/images/I/61OoWjGPtpL._AC_SY355_.jpg","Clorox",5.97,"13,687","13,687","8,000","82,159.82","82,053.14",72,"2,971","AMZ",5.67,1,4.1,296,15,152,"Amazon","Health & Household","Large Standard-Size","AMZ","11.06 x 2.83 x 3.43 in",0.86,"N/A","Dec 1, 2025",,"No",3,"Amazon"
115.,"Ortho Home Defense Max Bed Bug, Flea & Tick Killer with Comfort Wand – Also Kills Bed Bug Eggs, Ready-to-Use, Indoor Pest Control Spray, 1 gal.","B07YM6QZQV","https://www.amazon.com/dp/B07YM6QZQV?psc=1","https://m.media-amazon.com/images/I/71XnOUNthcL._AC_SY355_.jpg","Ortho",23.97,"13,012","7,407","6,000","230,807.85","156,668.52",143,185,"AMZ",13.64,1,4.4,"32,315",10,219,"Amazon","Patio, Lawn & Garden","Large Standard-Size","AMZ","11.93 x 5.00 x 9.21 in",9.5,"N/A","Oct 1, 2019",,"No",77,"Amazon"
"115.1.","Ortho Home Defense Max Bed Bug Killer - Also Kills Fleas & Brown Dog Ticks, Spot Treatment, 18 oz","B072FJM4YB","https://www.amazon.com/dp/B072FJM4YB?psc=1","https://m.media-amazon.com/images/I/61YS4n1BTeL._AC_SY355_.jpg","Ortho",12.96,"13,012","1,102","1,000","230,807.85","14,271.62",97,"2,570","AMZ",7.36,1,4.4,"32,315",11,219,"Amazon","Health & Household","Large Standard-Size","AMZ","9.61 x 2.56 x 2.60 in",1.34,"N/A","Oct 1, 2019",,"No",77,"Amazon"
"115.2.","Ortho Home Defense Max Bed Bug Trap, Detect Bed Bugs in Homes and While Traveling, 2 Traps in Each Package","B07YM6HZ23","https://www.amazon.com/dp/B07YM6HZ23?psc=1","https://m.media-amazon.com/images/I/71VGi3XU2VL._AC_SY355_.jpg","Ortho",11.45,"13,012","2,850","3,000","230,807.85","35,540.35",106,185,"US",5.45,1,4.4,"32,315",10,219,"A.T. 37","Patio, Lawn & Garden","Large Standard-Size","MFN","6.73 x 0.94 x 5.39 in",0.13,"N/A","Oct 1, 2019",,"No",77,"A.T. 37"
"115.3.","Ortho Home Defense Max Bed Bug & Flea Killer Powder, 12 oz. – Apply to Cracks and Crevices for Up to 8 Months of Control","B0812KTXBR","https://www.amazon.com/dp/B0812KTXBR?psc=1","https://m.media-amazon.com/images/I/71GmebLppxL._AC_SY355_.jpg","Ortho",10.48,"13,012","1,400","1,000","230,807.85","14,659.68",120,"2,571","N/A",6.17,1,4.4,"32,315",10,201,,"Health & Household","Large Standard-Size","AMZ","9.72 x 3.19 x 3.19 in",0.9,"N/A","Nov 5, 2019",,"No",76,
"115.4.","Ortho Home Defense Max Bed Bug Killer - Also Kills Fleas & Brown Dog Ticks, Spot Treatment, 18 oz. (2-Pack)","B09HWYP4Z8","https://www.amazon.com/dp/B09HWYP4Z8?psc=1","https://m.media-amazon.com/images/I/71g0yXXF1FL._AC_SY355_.jpg","Ortho",25.92,"13,012",124,100,"230,807.85","3,274.87",107,185,"N/A",11.14,1,4.4,"32,315",9,194,"Amazon","Patio, Lawn & Garden","Large Standard-Size","AMZ","10.00 x 2.95 x 5.00 in",2.75,"N/A","Oct 7, 2021",,"No",53,"Amazon"
"115.5.","Ortho Home Defense Max Bed Bug, Flea & Tick Killer with Comfort Wand, 1 gal. (2-Pack)","B0BWL3TV59","https://www.amazon.com/dp/B0BWL3TV59?psc=1","https://m.media-amazon.com/images/I/71mu2YRM1SL._AC_SY355_.jpg","Ortho",48.49,"13,012",130,200,"230,807.85","6,298.11",85,185,"N/A",26.13,1,4.4,"32,315",10,192,"Amazon","Patio, Lawn & Garden","Large and Bulky","AMZ","13.00 x 10.50 x 12.28 in",19.8,"N/A","Feb 22, 2023",,"No",37,"Amazon"
