"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  US$","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  US$","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
52.,"Good Night Bed Bug Spray, 16oz | Odorless, Water-Based, EPA Registered | Eliminates Bed Bugs, Lice, Ticks, Fleas, House Dust Mites | Ideal for Homes, Dormitories, Hotels","B005GWTSPA","https://www.amazon.com/dp/B005GWTSPA?psc=1","https://m.media-amazon.com/images/I/71XqOvEHLBL._AC_SY355_PIbundle-12,TopRight,0,0_SH20_.jpg","Sprayway",25.36,212,194,100,"5,145.8","3,678.52",169,"78,378","US",9.78,1,4.5,777,4,1,"MedsMed","Health & Household","Large Standard-Size","FBA","9.33 x 2.52 x 2.56 in",1.26,"N/A","Jul 20, 2008",,"No",212,"MedsMed"
"52.1.","Good Night Bed Bug Spray, 16oz, Pack of 12 | Odorless, Water-Based, EPA Registered | Eliminates Bed Bugs, Lice, Ticks, Fleas, House Dust Mites | Ideal for Homes, Dormitories, Hotels","B0D8K5L4YG","https://www.amazon.com/dp/B0D8K5L4YG?psc=1","https://m.media-amazon.com/images/I/71V6IXGmldL._AC_SY355_.jpg","Sprayway",79.99,212,18,"N/A","5,145.8","1,466.11",181,"78,342","N/A",23.38,1,4.5,777,5,0,"Amazon","Health & Household","Large Standard-Size","AMZ","10.50 x 8.00 x 10.00 in",15.5,"N/A","Jul 2, 2024",,"No",20,"Amazon"
