"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  US$","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  US$","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
128.,"Nature's Dome Bed Bug Spray – 100% Kill Rate, 16 OZ Natural Bed Bug & Mite Killer, Destroys Eggs, Kills Resistant Strains, Long-Lasting Protection, Safe for Home Use","B0DRPMQMKW","https://www.amazon.com/dp/B0DRPMQMKW?psc=1","https://m.media-amazon.com/images/I/71zRGpYl28L._AC_SY355_.jpg","NATURE'S DOME",19.95,654,366,200,"13,788.15","7,294.17",165,"40,127","US",8.27,1,4.2,258,9,18,"Nature's Dome","Health & Household","Large Standard-Size","FBA","8.27 x 3.15 x 3.90 in",1.1,"N/A","Dec 27, 2024",,"No",15,"Nature's Dome"
"128.1.","Nature's Dome Bed Bug Concentrate, Makes 16 oz Bed Bug Killer & Mite Killer Spray with 100% Kill Efficacy, Destroys Eggs & Resistant Strains, Derived from Natural Ingredients 2 oz","B0DS6J7CCB","https://www.amazon.com/dp/B0DS6J7CCB?psc=1","https://m.media-amazon.com/images/I/61cBIP9EMeL._AC_SY355_.jpg","NATURE'S DOME",14.99,654,58,"N/A","13,788.15",822.54,179,"361,043","N/A",7.19,1,4.2,258,8,11,"Nature's Dome","Patio, Lawn & Garden","Large Standard-Size","FBA","6.42 x 1.57 x 4.65 in",0.15,"N/A","Jan 3, 2025",,"No",14,"Nature's Dome"
"128.2.","Nature's Dome Bed Bug Spray – 100% Kill Rate, Natural Bed Bug & Mite Killer, Destroys Eggs, Kills Resistant Strains, Long-Lasting Protection, Safe for Home Use (3.4 Fl Oz (Pack of 1))","B0DSCHX5CH","https://www.amazon.com/dp/B0DSCHX5CH?psc=1","https://m.media-amazon.com/images/I/61PKjrtmTBL._AC_SY355_.jpg","NATURE'S DOME",12.49,654,83,"N/A","13,788.15","1,038.67",183,"40,121","N/A",5.55,1,4.2,258,9,22,"Nature's Dome","Health & Household","Large Standard-Size","FBA","6.42 x 1.50 x 4.76 in",0.31,"N/A","Jan 6, 2025",,"No",14,"Nature's Dome"
"128.3.","Nature's Dome Bed Bug Spray – 100% Kill Rate, 16 OZ Natural Bed Bug & Mite Killer, Destroys Eggs, Kills Resistant Strains, Long-Lasting Protection, Safe for Home Use (6.8)","B0F3QCJPVB","https://www.amazon.com/dp/B0F3QCJPVB?psc=1","https://m.media-amazon.com/images/I/71hvMJ26MWL._AC_SY355_PIbundle-2,TopRight,0,0_SH20_.jpg","NATURE'S DOME",19.99,654,32,"N/A","13,788.15",611.9,171,"40,121","N/A",8.92,1,4.2,258,9,22,"Nature's Dome","Health & Household","Large Standard-Size","FBA","6.70 x 1.73 x 3.03 in",2.08,"N/A","Apr 4, 2025",,"No",11,"Nature's Dome"
"128.4.","Nature's Dome Bed Bug Spray – 100% Kill Rate, 1 Gallon Natural Bed Bug & Mite Killer, Destroys Eggs, Kills Resistant Strains, Long-Lasting Protection, Safe for Home Use","B0DS2RT2SG","https://www.amazon.com/dp/B0DS2RT2SG?psc=1","https://m.media-amazon.com/images/I/71yPFKFxgwL._AC_SY355_.jpg","NATURE'S DOME",34.99,654,115,100,"13,788.15","4,018.43",168,"40,140","N/A",14.46,1,4.2,258,9,23,"Nature's Dome","Health & Household","Large Standard-Size","FBA","11.26 x 4.57 x 7.72 in",8.93,"N/A","Jan 3, 2025",,"No",14,"Nature's Dome"
