"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  US$","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  US$","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
28.,"Hygea Natural Lice, Mite, and Bed Bug Killer Travel Spray - TSA Approved Size – Child & Pet Friendly – Immediate Results – Stain & Odor Free, for Hotels, Suitcase, Backpack, Shoes, Bed Bug Spray(3oz)","B004X5KAE4","https://www.amazon.com/dp/B004X5KAE4?psc=1","https://m.media-amazon.com/images/I/71VpJDtzb6L._AC_SY355_.jpg","Hygea Natural",13.5,"4,623","3,800","3,000","72,254.66","51,302.36",199,"8,010","US",5.71,1,4.5,"2,862",6,42,"Hygea Natural ™","Health & Household","Large Standard-Size","FBA","5.55 x 1.61 x 1.77 in",0.24,"N/A","Apr 4, 2011",,"No",179,"Hygea Natural ™"
"28.1.","Hygea Natural Lice, Mite, and Bed Bug Killer Travel Spray - TSA Approved 3 oz Size Bottles, Child & Pet Friendly, Stain & Odor Free, for Hotels, Suitcase, Backpack, Shoes, Bed Bug Spray (2 Pack)","B08WNQVNFY","https://www.amazon.com/dp/B08WNQVNFY?psc=1","https://m.media-amazon.com/images/I/71KRrdzb7iL._AC_SY355_PIbundle-2,TopRight,0,0_SH20_.jpg","Hygea Natural",23,"4,623",442,300,"72,254.66","10,161.03",194,"8,012","N/A",8.86,1,4.5,"2,862",7,41,"Hygea Natural ™","Health & Household","Large Standard-Size","FBA","5.87 x 1.65 x 3.43 in",0.53,"N/A","Apr 18, 2016",,"No",119,"Hygea Natural ™"
"28.2.","Hygea Natural Lice, Mite, and Bed Bug Killer Travel Spray - TSA Approved 3 oz Size Bottles - Child & Pet Friendly - Stain & Odor Free - for Hotels, Suitcase, Backpack, Shoes - Bed Bug Spray (3 Pack)","B007TOKZ0A","https://www.amazon.com/dp/B007TOKZ0A?psc=1","https://m.media-amazon.com/images/I/71yf7eq5lVL._AC_SY355_PIbundle-3,TopRight,0,0_SH20_.jpg","Hygea Natural",30,"4,428",129,50,"69,334.68","3,856.14",198,"8,013","US",9.05,1,4.5,"2,862",6,54,"Hygea Natural ™","Health & Household","Large Standard-Size","FBA","6.10 x 1.89 x 5.91 in",0.9,"N/A","Apr 13, 2012",,"No",167,"Hygea Natural ™"
"28.3.","Hygea Natural Lice, Mite, and Bed Bug Killer Natural Spray - Child & Pet Friendly - Immediate Results - Stain & Odor Free (24 Ounce)","B08F5GRYDV","https://www.amazon.com/dp/B08F5GRYDV?psc=1","https://m.media-amazon.com/images/I/61zv6dMm0ML._AC_SX355_.jpg","Hygea Natural",23.75,"4,428",172,100,"69,334.68","4,093.74",132,"8,012","US",10.59,1,4.5,"2,862",6,44,"Hygea Natural ™","Health & Household","Large Standard-Size","FBA","9.21 x 2.36 x 6.30 in",2.82,"N/A","Aug 3, 2020",,"No",67,"Hygea Natural ™"
"28.4.","Hygea Natural Lice and Bed Bug DIY Kit- Non-Toxic, Odorless, Safe for children and pets, All water safe surfaces - Includes Bed Bug Spray and Bedbug Travel Spray TSA approved size","B007TORYFE","https://www.amazon.com/dp/B007TORYFE?psc=1","https://m.media-amazon.com/images/I/61yS2zuRReL._AC_SY355_.jpg","Hygea Natural",31.5,"4,623",51,"N/A","72,254.66","1,598.69",179,"8,013","N/A",10.6,1,4.5,"2,862",7,43,"Hygea Natural ™","Health & Household","Large Standard-Size","MFN","9.02 x 2.52 x 6.06 in",2.01,"N/A","Apr 13, 2012",,"No",167,"Hygea Natural ™"
"28.5.","Hygea Natural Lice, Mite, and Bed Bug Killer Natural Spray - Child & Pet Friendly - Immediate Results - Stain & Odor Free (128 Ounce)","B08WJL8TM2","https://www.amazon.com/dp/B08WJL8TM2?psc=1","https://m.media-amazon.com/images/I/617kOhS5RIL._AC_SY355_.jpg","Hygea Natural",59.99,"4,428",13,"N/A","69,334.68",784.94,133,"8,013","N/A",18.3,1,4.5,"2,862",6,43,"Hygea Natural ™","Health & Household","Large Standard-Size","FBA","10.79 x 5.51 x 5.67 in",8.6,"N/A","Sep 1, 2021",,"No",54,"Hygea Natural ™"
