"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  US$","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  US$","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
37.,"Premo Guard Natural Mite Spray – 32 oz Bottle – Plant Based Treatment for Dust, Spider, Carpet, Bird, Rat Mites – Safe for Families, Pet, Home, Bedding & Furniture When Used As Directed","B09VJN89JJ","https://www.amazon.com/dp/B09VJN89JJ?psc=1","https://m.media-amazon.com/images/I/61yjuNYdeYL._SX342_.jpg","Premo Guard",35.97,"2,251",711,400,"79,711.46","25,112.15",185,"2,451","US",11.5,1,4.2,"4,037",8,44,"Premo Guard LLC","Patio, Lawn & Garden","Large Standard-Size","FBA","11.34 x 4.02 x 4.92 in",2.31,"N/A","May 1, 2021",,"No",58,"Premo Guard LLC"
"37.1.","Premo Guard Natural Mite Spray – 16 oz Bottle – Plant Based Treatment for Dust, Spider, Carpet, Bird, Rat Mites – Safe for Families, Pet, Home, Bedding & Furniture When Used As Directed","B092815SDC","https://www.amazon.com/dp/B092815SDC?psc=1","https://m.media-amazon.com/images/I/61jM1IpB2eL._SX342_.jpg","Premo Guard",24.97,"2,230","1,266",900,"79,193.11","31,610.95",185,"2,453","US","N/A",1,4.2,"4,037",9,43,"Premo Guard LLC","Patio, Lawn & Garden","Large Standard-Size","FBA","10.00 x 2.80 x 5.71 in",1.23,"N/A","May 1, 2021",,"No",58,"Premo Guard LLC"
"37.2.","Premo Guard Natural Mite Spray – Large 128 oz Bottle – Plant Based Treatment for Dust, Spider, Carpet, Bird, Rat Mites – Safe for Families, Pet, Home, Bedding & Furniture When Used As Directed","B092829QPV","https://www.amazon.com/dp/B092829QPV?psc=1","https://m.media-amazon.com/images/I/71jDik5+FfL._SX342_.jpg","Premo Guard",89.97,"2,230",253,200,"79,193.11","22,456.88",192,"2,451","N/A",22.81,1,4.2,"4,037",9,43,"Premo Guard LLC","Patio, Lawn & Garden","Large Standard-Size","FBA","11.77 x 5.79 x 8.39 in",9.37,"N/A","May 1, 2021",,"No",58,"Premo Guard LLC"
