"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  US$","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  US$","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
"55.1.","All Natural Bed Bug Spray - Non-Toxic Bed Bug Killer - 2 Bottle Value Bed Bug Spray Travel Size - Fast-Acting Bed Bug Killer | Kills Fleas and Mites (Pack of 2)","B0GH323T22","https://www.amazon.com/dp/B0GH323T22?psc=1","https://m.media-amazon.com/images/I/81oI9ZFKFOL._AC_SX355_PIbundle-4,TopRight,0,0_SH20_.jpg","GARDENIX DECOR","N/A",569,0,"N/A","6,108.79","N/A",160,"44,926","N/A","N/A",1,4.3,644,7,19,,"Health & Household","Large Standard-Size","N/A","5.67 x 1.77 x 3.66 in",1.19,"N/A","Apr 16, 2022",,"No",47,
"55.2.","All Natural Bed Bug Spray -Non-Toxic Bed Bugs Killer - 2 Bottle Pack 16 oz + 1 oz Concentrate - Fast-Acting Beds Bug Killer | Kills Fleas and Mites","B0CQPJQRZK","https://www.amazon.com/dp/B0CQPJQRZK?psc=1","https://m.media-amazon.com/images/I/61u4v+7ROFL._AC_SY355_.jpg","GARDENIX DECOR",14.88,569,88,50,"6,108.79","1,304.73",147,"44,923","N/A",8.07,1,4.3,644,9,17,"Cyclone Brands","Health & Household","Large Standard-Size","FBA","8.43 x 2.32 x 5.43 in",1.61,"N/A","Dec 20, 2023",,"No",27,"Cyclone Brands"
