"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  US$","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  US$","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
"95.1.","Ecologic Bed Bug Killer Aerosol, 14 Ounces, Aerosol Formula Made With Lemongrass Oil And Cornmint Oil For Use On Seams, Edges And Tufts Of Mattresses, Bed Frames, Suitcases And More, 12 Pack","B08BSLG3VX","https://www.amazon.com/dp/B08BSLG3VX?psc=1","https://m.media-amazon.com/images/I/81R1JB-MRtL._AC_SY355_.jpg","EcoLogic",105.61,174,6,"N/A","3,969.69",627.66,190,"40,435","N/A",29.05,1,4.3,"2,184",9,23,"Amazon","Patio, Lawn & Garden","Large and Bulky","AMZ","10.98 x 8.31 x 10.08 in",13.67,"N/A","Jun 24, 2020",,"No",69,"Amazon"
"95.2.","Ecologic Bed Bug Killer 64 Ounces, Ready-To-Use Spray, Kills Pyrethroid-Resistant Bed Bugs And Eggs","B08BSLLD45","https://www.amazon.com/dp/B08BSLLD45?psc=1","https://m.media-amazon.com/images/I/71r9NDsAQwL._AC_SY355_.jpg","EcoLogic",26.97,174,44,50,"3,969.69","1,160.96",99,"40,449","N/A",12.95,1,4.3,"2,184",10,24,"Amazon","Patio, Lawn & Garden","Large Standard-Size","AMZ","7.99 x 4.37 x 7.87 in",4.48,"N/A","Jun 24, 2020",,"No",69,"Amazon"
"95.3.","Ecologic Bed Bug Killer 64 Ounces, Ready-To-Use Spray, Kills Pyrethroid-Resistant Bed Bugs And Eggs, 4 Pack","B08BSJW76T","https://www.amazon.com/dp/B08BSJW76T?psc=1","https://m.media-amazon.com/images/I/81cQWqfYFoL._AC_SY355_.jpg","EcoLogic",99.7,174,9,"N/A","3,969.69",918.81,107,"40,412","N/A",31.44,1,4.3,"2,184",10,25,"Amazon","Patio, Lawn & Garden","Large and Bulky","AMZ","15.50 x 8.75 x 9.75 in",19.8,"N/A","Jun 24, 2020",,"No",69,"Amazon"
