"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  US$","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  US$","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
33.,"Hot Shot Ready-to-Use Bed Bug Killer Spray, Kills Bed Bugs and Bed Bug Eggs, Kills Fleas and Dust Mites, 32 Ounce","B01N5VG342","https://www.amazon.com/dp/B01N5VG342?psc=1","https://m.media-amazon.com/images/I/71O28yrChrL._AC_SY355_.jpg","HOT SHOT",9.99,"2,308","1,196","2,000","33,171.14","11,105.11",113,"1,184","AMZ",6.78,1,4.4,"9,398",10,67,"Amazon","Patio, Lawn & Garden","Large Standard-Size","AMZ","11.46 x 3.62 x 5.43 in",2.31,"N/A","Jan 31, 2017",,"No",110,"Amazon"
"33.1.","Hot Shot Bed Bug Killer Aerosol, Bed Bug Treatment, 17.5 oz","B09X293BFS","https://www.amazon.com/dp/B09X293BFS?psc=1","https://m.media-amazon.com/images/I/71DYdAdWm1L._AC_SY355_.jpg","HOT SHOT",7.94,"2,308",620,300,"33,171.14","4,926.33",59,"1,183","N/A",6.39,1,4.4,"9,398",5,68,"Amazon","Patio, Lawn & Garden","Large Standard-Size","AMZ","9.92 x 2.32 x 2.44 in",1.39,"N/A","Apr 1, 2022",,"No",47,"Amazon"
"33.2.","Hot Shot Bed Bug Killer Dust With Diatomaceous Earth For Insects 8 Ounces, Treatment For Bed Bugs","B01MUGRY5C","https://www.amazon.com/dp/B01MUGRY5C?psc=1","https://m.media-amazon.com/images/I/81U812YfHNL._AC_SY355_.jpg","HOT SHOT",8.97,"2,308",293,100,"33,171.14","2,606.42",97,"1,183","N/A",4.73,1,4.4,"9,398",7,69,"Amazon","Patio, Lawn & Garden","Large Standard-Size","AMZ","9.84 x 3.11 x 3.23 in",0.66,"N/A","Jan 31, 2017",,"No",110,"Amazon"
"33.3.","Hot Shot Bed Bug Killer Aerosol, Case Pack of 12","B09YFV8V3W","https://www.amazon.com/dp/B09YFV8V3W?psc=1","https://m.media-amazon.com/images/I/91N02dPpyjL._AC_SY355_.jpg","HOT SHOT",112.56,"2,308",45,"N/A","33,171.14","4,944.9",48,"1,184","N/A",31.61,1,4.4,"9,398",5,70,"Amazon","Patio, Lawn & Garden","Large and Bulky","AMZ","10.98 x 8.15 x 10.47 in",17.02,"N/A","Apr 20, 2022",,"No",47,"Amazon"
"33.4.","Hot Shot Bed Bug Killer Dust With Diatomaceous Earth 8 Ounces, Treatment For Bed Bugs, 6 Pack","B01N9XUG2F","https://www.amazon.com/dp/B01N9XUG2F?psc=1","https://m.media-amazon.com/images/I/81nLg-CnSAL._AC_SY355_.jpg","HOT SHOT",46.62,"2,308",90,"N/A","33,171.14","4,378.19",93,"335,730","N/A","N/A",1,4.4,"9,398",10,42,"Amazon","Health & Household","Large Standard-Size","AMZ","11.06 x 7.17 x 10.51 in",4.43,"N/A","Jan 31, 2017",,"No",110,"Amazon"
"33.5.","Hot Shot Bed Bug Killer With Egg Kill, Ready-To-Use, 32 Ounces, Treatment For Bed Bugs, Pack of 12","B01N9XUKTC","https://www.amazon.com/dp/B01N9XUKTC?psc=1","https://m.media-amazon.com/images/I/81CS6-M8JrL._AC_SY355_.jpg","HOT SHOT",81.11,"2,308",64,"N/A","33,171.14","5,200.07",98,"1,183","N/A",31.9,1,4.4,"9,398",10,69,"Amazon","Patio, Lawn & Garden","Large and Bulky","AMZ","16.50 x 11.20 x 11.90 in",29.16,"N/A","Jan 31, 2017",,"No",110,"Amazon"
