"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  US$","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  US$","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
10.,"Dust Mite Killer Spray by Mite-B-Gone 16oz | Naturally Kills Human Mites, Chicken, Bird, Dust, Spider, Rat, Turkey, Carpet Mites | Family & Pet Safe Treatment for Homes, Furniture, Bedding & Farms","B0CKM16ZPL","https://www.amazon.com/dp/B0CKM16ZPL?psc=1","https://m.media-amazon.com/images/I/613BK6jtFBL._AC_SY355_.jpg","Naturasil",24.99,"2,435","1,456","1,000","83,137.84","36,125.39",196,"1,781","US",8.78,1,4.2,"2,762",10,"N/A","BuyNaturally","Patio, Lawn & Garden","Large Standard-Size","FBA","8.07 x 3.31 x 6.34 in",1.17,"N/A","Sep 26, 2023",,"No",30,"BuyNaturally"
"10.1.","Mite Killer Spray by Mite-B-Gone - 32oz | Plant-Based Treatment for Human, Dust, Chicken, Bird, Carpet & Rat Mites in Homes, Furniture & Bedding | Farm, Family & Pet Safe","B0CKM1CXM3","https://www.amazon.com/dp/B0CKM1CXM3?psc=1","https://m.media-amazon.com/images/I/61zmQSpaeoL._AC_SY355_.jpg","Naturasil",32.97,"2,435",707,600,"83,137.84","23,925.89",170,"1,781","US",10.87,1,4.2,"2,762",11,"N/A","BuyNaturally","Patio, Lawn & Garden","Large Standard-Size","FBA","11.54 x 3.66 x 5.39 in",2.23,"N/A","Sep 26, 2023",,"No",30,"BuyNaturally"
"10.2.","Mite Killer Spray - 1 Gal Natural Mite Treatment Kills Human, Dust, Chicken, Poultry, Bird, Carpet & Rat Mites in Homes and Farm | Family & Pet Safe by Mite-Be-Gone","B0CKLY6H52","https://www.amazon.com/dp/B0CKLY6H52?psc=1","https://m.media-amazon.com/images/I/712vyGIukZL._AC_SY355_.jpg","Naturasil",72.99,"2,435",254,100,"83,137.84","19,070.64",164,"1,781","US",21.17,1,4.2,"2,762",10,"N/A","BuyNaturally","Patio, Lawn & Garden","Large Standard-Size","FBA","17.04 x 6.10 x 8.94 in",9.17,"N/A","Sep 26, 2023",,"No",30,"BuyNaturally"
"10.3.","Mite Killer Treatment Spray Pack by Mite-B-Gone - Naturally Kills All Types of Mites, Human, Dust, Spider, Rat, Carpet & Bird Mites | Family & Pet Friendly | 1 Gal 4-Pack","B0DPJGF27N","https://www.amazon.com/dp/B0DPJGF27N?psc=1","https://m.media-amazon.com/images/I/719Y1GM7uAL._AC_SY355_PIbundle-4,TopRight,0,0_SH20_.jpg","Naturasil",249.97,"2,435",19,"N/A","83,137.84","4,000.66",170,"1,781","US",62.07,1,4.2,"2,762",9,49,"BuyNaturally","Patio, Lawn & Garden","Large and Bulky","FBA","15.00 x 9.00 x 13.00 in",37.4,"N/A","Dec 3, 2024",,"No",15,"BuyNaturally"
