"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  US$","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  US$","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
23.,"Clorox PURE Allergen Neutralizer Fabric and Carpet Spray, Nighttime Calm, 26 Fluid Ounces","B0FMZX54B9","https://www.amazon.com/dp/B0FMZX54B9?psc=1","https://m.media-amazon.com/images/I/61SI1Y-vOiL._AC_SY355_.jpg","Clorox",6.97,349,349,"5,000","2,430.45","2,426.96",89,"4,930","AMZ",6.15,1,4.3,124,14,60,"Amazon","Health & Household","Large Standard-Size","AMZ","11.54 x 2.99 x 5.24 in",2.6,"N/A","Aug 19, 2025",,"No",7,"Amazon"
40.,"Mite Spray – Natural Killer for Dust, Bird, Spider & Other Mites | Bedding & Furniture-Safe | Treatment for Chickens, Poultry, Dogs, Cats, Reptiles & Other Pets | Indoor & Outdoor (22 oz)","B0FBPDVKB4","https://www.amazon.com/dp/B0FBPDVKB4?psc=1","https://m.media-amazon.com/images/I/71nuDIOLa+L._AC_SY355_.jpg","ECOPEST",22.99,367,349,200,"9,318.26","8,028.77",187,"49,897","US",10.11,1,4.3,83,14,3,"Rimbaworks","Health & Household","Large Standard-Size","FBA","10.20 x 2.48 x 4.29 in",1.46,"N/A","Jun 2, 2025",,"No",9,"Rimbaworks"
"40.1.","Mite Spray – Natural Killer for Dust, Bird, Spider & Other Mites | Bedding & Furniture-Safe | Treatment for Chickens, Poultry, Dogs, Cats, Reptiles & Other Pets | Indoor & Outdoor (1 Gallon)","B0FDX548SB","https://www.amazon.com/dp/B0FDX548SB?psc=1","https://m.media-amazon.com/images/I/711mtao+XyL._AC_SY355_.jpg","ECOPEST",74.99,367,17,"N/A","9,318.26","1,285.62",190,"49,897","N/A",20.23,1,4.3,83,14,4,"Rimbaworks","Health & Household","Large Standard-Size","FBA","13.11 x 5.67 x 7.95 in",8.4,"N/A","Aug 19, 2025",,"No",7,"Rimbaworks"
