"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  US$","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  US$","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
25.,"Hygea Natural Dust Mite Killer Spray - Eliminates Dust, Carpet, Rodent, Bird, Scabies Mites - Safe for Home, Children, Pets, Bedding & Furniture, 24 oz, Unscented","B0DNSL8TXW","https://www.amazon.com/dp/B0DNSL8TXW?psc=1","https://m.media-amazon.com/images/I/611QLerc9bL._AC_SX355_.jpg","Hygea Natural",23.75,615,473,300,"18,882.37","11,231.43",162,"33,835","US",9.08,1,4.1,122,11,15,"Hygea Natural ™","Health & Household","Large Standard-Size","FBA","9.65 x 1.93 x 5.08 in",1.7,"N/A","Nov 22, 2024",,"No",16,"Hygea Natural ™"
"25.1.","Hygea Natural Dust Mite Killer Travel Spray - Eliminates Dust Mites, Carpet Mites, Rodent Mites, Bird & Scabies Mites - TSA Approved - Pet & Child Friendly - 3oz (Unscented)","B0GK6YPPRW","https://www.amazon.com/dp/B0GK6YPPRW?psc=1","https://m.media-amazon.com/images/I/41DoCCqSGoL._AC_SY355_.jpg","Hygea Natural",13.5,615,18,"N/A","18,882.37",244.6,173,"33,835","US",5.76,1,4.1,122,13,15,"Hygea Natural ™","Health & Household","Large Standard-Size","FBA","5.85 x 1.60 x 1.60 in",0.25,"N/A","Jan 28, 2026",,"No",2,"Hygea Natural ™"
"25.2.","Hygea Natural Dust Mite Killer Spray - Eliminates Dust, Carpet, Rodent, Bird, Scabies Mites - Safe for Home, Children, Pets, Bedding & Furniture, 128 oz, Unscented","B0DNSL3C14","https://www.amazon.com/dp/B0DNSL3C14?psc=1","https://m.media-amazon.com/images/I/71W+Ng9ts3L._AC_SY355_.jpg","Hygea Natural",59.99,615,123,100,"18,882.37","7,405.96",163,"33,835","US",17.68,1,4.1,122,11,15,"Hygea Natural ™","Health & Household","Large Standard-Size","FBA","12.13 x 5.28 x 9.33 in",8.66,"N/A","Nov 29, 2024",,"No",16,"Hygea Natural ™"
