"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  US$","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  US$","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
15.,"Clorox PURE Allergen Neutralizer Fabric and Carpet Spray, Clean Breeze, 26 Fluid Ounces","B0FN116TFR","https://www.amazon.com/dp/B0FN116TFR?psc=1","https://m.media-amazon.com/images/I/71lR7uw1WjL._AC_SY355_.jpg","Clorox",6.97,574,574,"10,000","3,998.84","3,993.1",87,"2,810","AMZ",6.15,1,4.5,216,14,107,"Amazon","Health & Household","Large Standard-Size","AMZ","11.54 x 3.07 x 5.20 in",2.14,"N/A","Aug 19, 2025",,"No",7,"Amazon"
119.,"All Natural Bed Bug Spray - Non-Toxic Bed Bug Killer - 2 Bottle Value Bed Bug Spray Travel Size - Fast-Acting Bed Bug Killer | Kills Fleas and Mites","B0CQPL65QX","https://www.amazon.com/dp/B0CQPL65QX?psc=1","https://m.media-amazon.com/images/I/81pTKvgiI2L._AC_SY355_PIbundle-2,TopRight,0,0_SH20_.jpg","GARDENIX DECOR",9.99,569,481,400,"6,108.79","4,799.03",148,"44,939","US",4.88,1,4.3,644,7,17,"Cyclone Brands","Health & Household","Large Standard-Size","FBA","5.67 x 1.77 x 3.66 in",0.6,"N/A","Dec 20, 2023",,"No",27,"Cyclone Brands"
"119.1.","All Natural Bed Bug Spray -Non-Toxic Bed Bugs Killer - 2 Bottle Pack 16 oz + 1 oz Concentrate - Fast-Acting Beds Bug Killer | Kills Fleas and Mites","B0CQPJQRZK","https://www.amazon.com/dp/B0CQPJQRZK?psc=1","https://m.media-amazon.com/images/I/61u4v+7ROFL._AC_SY355_.jpg","GARDENIX DECOR",14.88,569,88,50,"6,108.79","1,304.73",147,"44,923","N/A",8.07,1,4.3,644,9,17,"Cyclone Brands","Health & Household","Large Standard-Size","FBA","8.43 x 2.32 x 5.43 in",1.61,"N/A","Dec 20, 2023",,"No",27,"Cyclone Brands"
