"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  US$","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  US$","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
47.,"Hygea Natural Extra Strength Bed Bug Killer & Mite Travel Spray, TSA Approved Size, Child & Pet-Friendly, Stain & Odor Free, for Hotel, Suitcase, Backpack, Shoes, 66% Stronger Natural Formula(3oz)","B09F9YKM2J","https://www.amazon.com/dp/B09F9YKM2J?psc=1","https://m.media-amazon.com/images/I/71gEKrJSNtL._AC_SY355_.jpg","Hygea Natural",15.5,"1,573",695,500,"48,597.97","10,765.45",196,"18,575","US",6.49,1,4.4,"1,571",7,35,"Hygea Natural ™","Health & Household","Large Standard-Size","FBA","5.63 x 1.38 x 1.46 in",0.26,"N/A","Sep 2, 2021",,"No",54,"Hygea Natural ™"
"47.1.","Hygea Natural Extra Strength Bed Bug Killer & Mite Travel Spray - TSA Approved Size - Child & Pet Friendly - Stain & Odor Free - for Hotel, Suitcase, Backpack, Shoes - 66% Stronger Formula(2pk, 3 oz)","B0DH832SLB","https://www.amazon.com/dp/B0DH832SLB?psc=1","https://m.media-amazon.com/images/I/71KQ49HwtGL._AC_SY355_PIbundle-2,TopRight,0,0_SH20_.jpg","Hygea Natural",27,"1,573",167,50,"48,597.97","4,514.59",199,"18,563","N/A",7.95,1,4.4,"1,571",8,36,"Hygea Natural ™","Health & Household","Large Standard-Size","FBA","5.98 x 1.69 x 4.57 in",0.58,"N/A","Sep 17, 2024",,"No",18,"Hygea Natural ™"
"47.2.","Hygea Natural Extra Strength Bed Bug Killer & Mite Travel Spray - TSA Approved 3 oz Size - Child & Pet Friendly - Stain & Odor Free - for Hotel, Suitcase, Backpack - 66% Stronger Formula (3 pack)","B09QT4N3G6","https://www.amazon.com/dp/B09QT4N3G6?psc=1","https://m.media-amazon.com/images/I/718NVT6VDjL._AC_SY355_PIbundle-3,TopRight,0,0_SH20_.jpg","Hygea Natural",34,"1,573",57,"N/A","48,597.97","1,932.49",195,"18,563","N/A",10.64,1,4.4,"1,571",8,39,"Hygea Natural ™","Health & Household","Large Standard-Size","FBA","6.10 x 1.81 x 5.83 in",0.82,"N/A","Jan 21, 2022",,"No",50,"Hygea Natural ™"
"47.3.","Hygea Natural Extra Strength Bed Bug Killer 3oz Travel Spray –TSA Approved - New Formula 66% Stronger- Stain & Scent Free Treatment – Natural Formula - Child & Pet Safe (50 Pack)","B0D3L9H4J9","https://www.amazon.com/dp/B0D3L9H4J9?psc=1","https://m.media-amazon.com/images/I/71pYEmLY2iL._AC_SY355_PIbundle-50,TopRight,0,0_SH20_.jpg","Hygea Natural",275,"1,573",25,"N/A","48,597.97","6,986",178,"18,563","N/A",51.84,1,4.4,"1,571",7,39,"Hygea Natural ™","Health & Household","Large Standard-Size","FBA","12.40 x 6.69 x 10.39 in",13.44,"N/A","May 8, 2024",,"No",22,"Hygea Natural ™"
"47.4.","Hygea Natural Extra Strength Bed Bug Killer & Mite Spray - Child & Pet Friendly - Stain & Odor Free - 66% Stronger Formula (24 oz)","B09F9XWXXB","https://www.amazon.com/dp/B09F9XWXXB?psc=1","https://m.media-amazon.com/images/I/61lE+FeGzaL._AC_SX355_.jpg","Hygea Natural",27.75,"1,573",343,300,"48,597.97","9,514.63",130,"18,563","N/A",9.68,1,4.4,"1,571",6,37,"Hygea Natural ™","Health & Household","Large Standard-Size","FBA","8.98 x 2.48 x 5.28 in",1.72,"N/A","Sep 2, 2021",,"No",54,"Hygea Natural ™"
"47.5.","Hygea Natural Extra-Strength Bed Bug DIY Kit - unique, Odorless, Child & Pet Friendly - All water-friendly surfaces - 1 Bed Bug Spray (24 oz) & 1 Bed Bug Travel Spray in TSA Approved Size (3 oz)","B0CLBB7F76","https://www.amazon.com/dp/B0CLBB7F76?psc=1","https://m.media-amazon.com/images/I/71MO93YgMBL._AC_SY355_.jpg","Hygea Natural",36.5,"1,573",154,100,"48,597.97","5,615.07",194,"18,575","N/A",11.72,1,4.4,"1,571",7,36,"Hygea Natural ™","Health & Household","Large Standard-Size","FBA","8.94 x 2.76 x 5.83 in",2.09,"N/A","Oct 18, 2023",,"No",29,"Hygea Natural ™"
"47.6.","Hygea Natural Extra Strength Bed Bug Killer & Mite Spray- Child & Pet Friendly - Stain & Odor Free - 66% Stronger Natural Formula (128 oz)","B08WM2QKS8","https://www.amazon.com/dp/B08WM2QKS8?psc=1","https://m.media-amazon.com/images/I/71aa45cSLqL._AC_SY355_.jpg","Hygea Natural",69.99,"1,573",132,100,"48,597.97","9,267.53",138,"18,563","N/A","N/A",1,4.4,"1,571",7,37,"Hygea Natural ™","Health & Household","Large Standard-Size","FBA","11.93 x 5.75 x 8.11 in",8.82,"N/A","Apr 10, 2022",,"No",47,"Hygea Natural ™"
