"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  US$","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  US$","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
134.,"Jimmy Mattress Vacuum Cleaner, Anti-allergen Bed Vacuum Cleaner with UV-C Light & High Heating Tech, 14Kpa Suction 480W Powerful Handheld Vacuums for Dust & Pet Hair(JV35, Corded)","B0BP6HQ38B","https://www.amazon.com/dp/B0BP6HQ38B?psc=1","https://m.media-amazon.com/images/I/717v7iG8-qL._AC_SX355_.jpg","Jimmy",148.23,"1,273",969,500,"199,032.78","141,173.22",179,"31,510","N/A",36.09,1,4.5,"5,303",7,59,"Yueke Tech Hub","Home & Kitchen","Large and Bulky","FBA","16.50 x 10.00 x 12.50 in",8.15,"N/A","Dec 6, 2022",,"No",39,"Yueke Tech Hub"
22.,"Bed Bug Killer 16 oz EcoVenger by EcoRaider, 100% Kill Efficacy, Bedbugs & Mites, Kills Eggs & The Resistant, Lasting Protection, USDA BIO-Certified, Plant Extract Based & Non-Toxic, Child & Pet Safe","B0077CPANQ","https://www.amazon.com/dp/B0077CPANQ?psc=1","https://m.media-amazon.com/images/I/61Ar--ff5zL._AC_SY355_.jpg","EcoVenger",19.95,"6,052","5,263","4,000","130,290.72","104,992.45",199,"4,625","US",8.02,1,4.2,"20,340",9,93,"EcoRaider Store","Health & Household","Large Standard-Size","FBA","11.46 x 2.60 x 4.88 in",1.23,"N/A","Aug 22, 2013",,"No",151,"EcoRaider Store"
131.,"Allergen Spray, Pets, Dust Allergies & More, Air & Surface, Just Add Water, Bottle, Over 33oz","B010W5OSO6","https://www.amazon.com/dp/B010W5OSO6?psc=1","https://m.media-amazon.com/images/I/71IQI+UhKtL._AC_SY355_.jpg","Allergy Asthma Clean",19.99,"4,410","3,841","3,000","95,906.8","76,748.45",93,"8,204","US",8.77,1,4.4,"8,248",9,41,"Allergy Asthma Clean by Allergy Defender","Health & Household","Large Standard-Size","FBA","12.01 x 3.23 x 3.31 in",0.26,"N/A","Jul 10, 2015",,"No",128,"Allergy Asthma Clean by Allergy Defender"
9.,"The Ecology Works DustmiteX Dust Mite Spray - Dust Mites Remover + Flea Killer for Allergy & Asthma Relief For Cleaning in Home, Bed, Pet Bedding, & Furniture, Anti Allergen Dust Mites Killer","B0882XN8GK","https://www.amazon.com/dp/B0882XN8GK?psc=1","https://m.media-amazon.com/images/I/61BuDhiKFsL._AC_SY355_.jpg","The Ecology Works",21.95,"3,295","2,992","2,000","76,925.93","65,404.57",191,"12,763","US",10.38,1,4.3,"2,204",6,250,"The Ecology Works, Inc","Health & Household","Large Standard-Size","FBA","9.21 x 3.86 x 7.56 in",2.47,"N/A","May 5, 2020",,"No",70,"The Ecology Works, Inc"
53.,"Bed Bug & Mite Laundry Detergent Additive by Premo Guard – 32 oz – Child & Pet Friendly – Stain & Odor Free – Best Natural Non-Toxin Treatment","B08XWGL1HK","https://www.amazon.com/dp/B08XWGL1HK?psc=1","https://m.media-amazon.com/images/I/711eqc-f8KL._AC_SY355_.jpg","Premo Guard",35.97,"3,192","1,728","1,000","155,398.22","62,149.65",142,"13,378","US",11.64,1,4.3,"2,174",8,53,"Premo Guard LLC","Health & Household","Large Standard-Size","FBA","9.29 x 3.58 x 3.90 in",2.05,"N/A","Mar 2, 2021",,"No",60,"Premo Guard LLC"
28.,"Hygea Natural Lice, Mite, and Bed Bug Killer Travel Spray - TSA Approved Size – Child & Pet Friendly – Immediate Results – Stain & Odor Free, for Hotels, Suitcase, Backpack, Shoes, Bed Bug Spray(3oz)","B004X5KAE4","https://www.amazon.com/dp/B004X5KAE4?psc=1","https://m.media-amazon.com/images/I/71VpJDtzb6L._AC_SY355_.jpg","Hygea Natural",13.5,"4,623","3,800","3,000","72,254.66","51,302.36",199,"8,010","US",5.71,1,4.5,"2,862",6,42,"Hygea Natural ™","Health & Household","Large Standard-Size","FBA","5.55 x 1.61 x 1.77 in",0.24,"N/A","Apr 4, 2011",,"No",179,"Hygea Natural ™"
31.,"Premo Guard Bed Bug Killer Spray 24 oz - University Tested 100% Kill Rate - Natural Non Toxic, Stain & Scent Free - Kill Bedbugs & Mites On Bed & Blankets, Furniture, Clothing - Child & Pet Safe","B072YVN9XW","https://www.amazon.com/dp/B072YVN9XW?psc=1","https://m.media-amazon.com/images/I/61n+lZYIiaL._AC_SY355_.jpg","Premo Guard",29.97,"2,997","1,528",900,"89,215.36","45,766.84",194,"13,279","US",11.33,1,4.2,"5,044",7,33,"Premo Guard LLC","Health & Household","Large Standard-Size","FBA","9.84 x 3.62 x 5.67 in",1.74,"N/A","Sep 6, 2017",,"No",102,"Premo Guard LLC"
102.,"The Ecology Works- Plant-Based Dog & Cat Allergy Spray, Dander Remover & Dust Mite Waste Reducer for Relief from Allergies - Cleans Home, Bedding & Furniture Naturally, Fragrance-Free","B0886ZQ5TK","https://www.amazon.com/dp/B0886ZQ5TK?psc=1","https://m.media-amazon.com/images/I/61HmmIo0X0L._AC_SY355_.jpg","The Ecology Works",17.99,"2,401","2,308","1,000","48,098.65","44,448.19",183,"15,565","US",10.25,1,4.4,953,8,23,"The Ecology Works, Inc","Health & Household","Large Standard-Size","FBA","10.00 x 4.37 x 5.47 in",2.69,"N/A","May 5, 2020",,"No",70,"The Ecology Works, Inc"
144.,"BASF PT Alpine Flea & Bed Bug Killer, Fast Acting Insecticide, Extended Long Lasting Pest Control Formula, Quick Dry, Non-staining, Ready to Use Spray Can 14 oz","B0C5NSXT9B","https://www.amazon.com/dp/B0C5NSXT9B?psc=1","https://m.media-amazon.com/images/I/71wqWtX9ERL._AC_SY355_.jpg","BASF",24.5,"1,640","1,640","1,000","38,019.22","38,009.74",160,"2,303","US",9.11,1,4.7,893,2,21,"DIY Pest Control","Patio, Lawn & Garden","Large Standard-Size","FBA","9.20 x 2.50 x 2.60 in",1.15,"N/A","May 18, 2023",,"No",34,"DIY Pest Control"
10.,"Dust Mite Killer Spray by Mite-B-Gone 16oz | Naturally Kills Human Mites, Chicken, Bird, Dust, Spider, Rat, Turkey, Carpet Mites | Family & Pet Safe Treatment for Homes, Furniture, Bedding & Farms","B0CKM16ZPL","https://www.amazon.com/dp/B0CKM16ZPL?psc=1","https://m.media-amazon.com/images/I/613BK6jtFBL._AC_SY355_.jpg","Naturasil",24.99,"2,435","1,456","1,000","83,137.84","36,125.39",196,"1,781","US",8.78,1,4.2,"2,762",10,"N/A","BuyNaturally","Patio, Lawn & Garden","Large Standard-Size","FBA","8.07 x 3.31 x 6.34 in",1.17,"N/A","Sep 26, 2023",,"No",30,"BuyNaturally"
