"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  US$","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  US$","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
11.,"Clorox PURE Allergen Neutralizer Fabric and Carpet Spray, Nighttime Calm, 26 Fluid Ounces","B0FMZX54B9","https://www.amazon.com/dp/B0FMZX54B9?psc=1","https://m.media-amazon.com/images/I/61SI1Y-vOiL._AC_SY355_.jpg","Clorox",6.97,349,349,"5,000","2,430.45","2,426.96",89,"4,930","AMZ",6.15,1,4.3,124,14,60,"Amazon","Health & Household","Large Standard-Size","AMZ","11.54 x 2.99 x 5.24 in",2.6,"N/A","Aug 19, 2025",,"No",7,"Amazon"
38.,"PUREFY Anti-Allergen Spray (68oz Refill), Hypoallergenic. Eliminate Allergens and Odor. Baby Safe. Unscented. No Residue. Asthma & Allergy Safe for Babies & Pets. Allergen Reducer for Healthier Life!","B07Q6L9SNF","https://www.amazon.com/dp/B07Q6L9SNF?psc=1","https://m.media-amazon.com/images/I/71OO3inonnL._AC_SY355_.jpg","PUREFY",34.95,47,47,"N/A","1,652.42","1,652.29",199,"175,983","N/A","N/A",1,4.4,302,9,0,"PUREFYLIFE","Health & Household","N/A","MFN","N/A","N/A","N/A","Jul 5, 2020",,"No",68,"PUREFYLIFE"
39.,"Allertech® Anti-Allergen Spray, 32 oz Bottle - Neutralizing Solution for Fabrics, Carpets, Bedding, Upholstery & Surfaces - Plant & Mineral Ingredients, Clear & Stain-Free, Safe Around Pets","B00TZ9Y8I2","https://www.amazon.com/dp/B00TZ9Y8I2?psc=1","https://m.media-amazon.com/images/I/710Yo1rZkzL._AC_SY355_.jpg","Allertech",34.99,46,46,"N/A","1,610.59","1,610.44",189,"226,871","N/A",11.3,1,4.3,265,4,0,"Allergy Asthma Technology, LLC","Health & Household","Large Standard-Size","FBA","11.34 x 2.87 x 5.71 in",2.27,"N/A","Feb 25, 2015",,"No",133,"Allergy Asthma Technology, LLC"
49.,"PUREFY Anti-Allergen Spray (24OZ+68oz), Hypoallergenic. Eliminate Allergens and Odor. Baby Safe. Unscented. No Residue. Asthma & Allergy Safe for Babies & Pets. Allergen Reducer for Healthier Life!","B07ZG61RVW","https://www.amazon.com/dp/B07ZG61RVW?psc=1","https://m.media-amazon.com/images/I/51NMUfDQ25L._AC_SX355_PIbundle-2,TopRight,0,0_SH20_.jpg","PUREFY",54.95,28,28,"N/A","1,545.69","1,545.6",197,"327,279","N/A","N/A",1,4.3,143,8,0,"PUREFYLIFE","Health & Household","N/A","MFN","N/A","N/A","N/A","Jul 5, 2020",,"No",68,"PUREFYLIFE"
31.,"PUREFY Anti-Allergen Spray (16oz, 2pk), Hypoallergenic. Eliminate Inanimate Allergens and Odor. Baby Safe. Unscented. No Residue. Safe for Babies & Pets. Allergen Reducer for Healthier Life!","B0F4F2K9MC","https://www.amazon.com/dp/B0F4F2K9MC?psc=1","https://m.media-amazon.com/images/I/51qwLt+xvvL._AC_SY355_.jpg","PUREFY",29.98,51,51,"N/A","1,515.45","1,514.83",190,"150,345","N/A",10.55,1,4.2,40,6,0,"PUREFYLIFE","Health & Household","Large Standard-Size","FBA","9.09 x 3.94 x 6.30 in",2.8,"N/A","Oct 25, 2022",,"No",41,"PUREFYLIFE"
35.,"LivePure Anti-Allergen 128 OZ Fabric Spray for Household Surfaces. Plant-Based Allergy Spray for Dust Mites and Pet Dander. Fragrance Free","B0DJCJ1W7P","https://www.amazon.com/dp/B0DJCJ1W7P?psc=1","https://m.media-amazon.com/images/I/71ZAhAYp1xL._AC_SY355_.jpg","LivePure",37.99,501,37,"N/A","11,435.47","1,419.44",138,"43,735","N/A",15.08,1,4.3,"1,242",6,6,"Filter Monster","Health & Household","Large Standard-Size","FBA","12.00 x 5.00 x 8.50 in",8.8,"N/A","Sep 30, 2024",,"No",18,"Filter Monster"
56.,"The Ecology Works- Travel Size| Plant-Based Dog & Cat Allergy Spray, Dander Remover & Dust Mite Waste Reducer for Relief from Allergies - Cleans Bedding & Furniture Naturally, Fragrance-Free","B0DFFMZ6G2","https://www.amazon.com/dp/B0DFFMZ6G2?psc=1","https://m.media-amazon.com/images/I/51-INdylzRL._AC_SY355_.jpg","The Ecology Works",9.95,92,92,50,915.34,914.29,190,"141,926","N/A",4.4,1,4.4,35,7,1,"The Ecology Works, Inc","Health & Household","Large Standard-Size","FBA","8.90 x 1.61 x 1.65 in",0.29,"N/A","Aug 27, 2024",,"No",19,"The Ecology Works, Inc"
34.,"Ecology Works Anti-Allergen Solution - For Cleaning Home, Bedding, & Furniture Naturally with E book Tips","B00I7YWBIA","https://www.amazon.com/dp/B00I7YWBIA?psc=1","https://m.media-amazon.com/images/I/61HmmIo0X0L._SY355_.jpg","The Ecology Works",19.99,38,38,"N/A",756.23,755.75,105,"172,320","N/A",9.05,1,4.4,477,5,1,"The Ecology Works, Inc","Health & Household","Large Standard-Size","FBA","10.39 x 2.99 x 6.06 in",2.36,"N/A","Dec 17, 2007",,"No",219,"The Ecology Works, Inc"
41.,"PUREFY Anti-Allergen Spray (24oz), Eliminate matters. Odor eliminators. Unscented. No residue. Asthma and Allergy Safe for babies and pets. Spray for Healtheir Life.","B09C2MDNH6","https://www.amazon.com/dp/B09C2MDNH6?psc=1","https://m.media-amazon.com/images/I/41aDiAOOPdL._AC_SY355_.jpg","PUREFY",25.95,19,19,"N/A",495.96,495.84,165,"270,577","N/A","N/A",1,4.1,72,9,0,"PUREFYLIFE","Health & Household","Large Standard-Size","MFN","9.21 x 4.80 x 6.38 in",2.16,"N/A","Aug 6, 2021",,"No",55,"PUREFYLIFE"
45.,"PUREFY Anti-Allergen Spray Concentrate (16oz, makes 68oz), Hypoallergenic. Eliminate Irritating Matters and Odor. Baby Safe. Unscented. No Residue. For Cleaner and Healthier Life!","B09TCRSMYT","https://www.amazon.com/dp/B09TCRSMYT?psc=1","https://m.media-amazon.com/images/I/41rVu8c-X6L._AC_SY355_.jpg","PUREFY",29.98,13,13,"N/A",389.74,389.53,179,"347,534","N/A","N/A",1,4.1,2,6,0,"PUREFYLIFE","Health & Household","N/A","MFN","N/A","N/A","N/A","Feb 26, 2022",,"No",49,"PUREFYLIFE"
